spp,rcp,zone,year,total_value
skj,historical,CCZ,1980,4.909513400867581
skj,historical,Outside,1980,137.1135019098559
skj,historical,CCZ,1981,5.194303042565783
skj,historical,Outside,1981,141.21433768580997
skj,historical,CCZ,1982,4.22922265327846
skj,historical,Outside,1982,141.23168922946206
skj,historical,CCZ,1983,4.781598935679843
skj,historical,Outside,1983,142.12576345485468
skj,historical,CCZ,1984,5.217694314817588
skj,historical,Outside,1984,139.30970176458263
skj,historical,CCZ,1985,4.289974580518901
skj,historical,Outside,1985,141.6637624601426
skj,historical,CCZ,1986,4.861747187872727
skj,historical,Outside,1986,142.07919731165748
skj,historical,CCZ,1987,4.613876082313557
skj,historical,Outside,1987,145.69740152169774
skj,historical,CCZ,1988,6.224630907022704
skj,historical,Outside,1988,143.23706605096172
skj,historical,CCZ,1989,5.374842873308808
skj,historical,Outside,1989,142.7383207663382
skj,historical,CCZ,1990,4.495384199700008
skj,historical,Outside,1990,140.0736917531443
skj,historical,CCZ,1991,4.635312152871241
skj,historical,Outside,1991,144.78856117979618
skj,historical,CCZ,1992,5.003744061725835
skj,historical,Outside,1992,145.66604016169367
skj,historical,CCZ,1993,5.433632247149944
skj,historical,Outside,1993,143.659496039981
skj,historical,CCZ,1994,5.882525010655324
skj,historical,Outside,1994,140.42836625050526
skj,historical,CCZ,1995,6.217742732260376
skj,historical,Outside,1995,140.6809963116199
skj,historical,CCZ,1996,5.926210337784141
skj,historical,Outside,1996,139.68086824284183
skj,historical,CCZ,1997,4.2919942250785725
skj,historical,Outside,1997,139.66857685942523
skj,historical,CCZ,1998,5.251354723237455
skj,historical,Outside,1998,141.4918155809422
skj,historical,CCZ,1999,5.616622991239031
skj,historical,Outside,1999,140.42027919354223
skj,historical,CCZ,2000,4.3676212122663856
skj,historical,Outside,2000,138.88744269460344
skj,historical,CCZ,2001,4.057936407392845
skj,historical,Outside,2001,140.99780758840157
skj,historical,CCZ,2002,4.1320674753127
skj,historical,Outside,2002,144.26770575865763
skj,historical,CCZ,2003,4.705681198742241
skj,historical,Outside,2003,142.7068766767164
skj,historical,CCZ,2004,4.768247794825584
skj,historical,Outside,2004,140.6522915616406
skj,historical,CCZ,2005,4.653359685558826
skj,historical,Outside,2005,138.62852370527858
skj,historical,CCZ,2006,4.571762668589751
skj,historical,Outside,2006,137.98248891453235
skj,historical,CCZ,2007,4.77639114515235
skj,historical,Outside,2007,137.8129879792359
skj,historical,CCZ,2008,3.9377646478824317
skj,historical,Outside,2008,135.8434877243611
skj,historical,CCZ,2009,3.494553230004385
skj,historical,Outside,2009,133.80350992087793
